tradingdate,stockcode,weight
2021/12/31,002568.SZ,0.000367162
2021/12/31,002124.SZ,0.000365859
2021/12/31,300182.SZ,0.000363336
2021/12/31,300373.SZ,0.000361348
2021/12/31,688029.SH,0.000360511
2021/12/31,000550.SZ,0.000357282
2021/12/31,601000.SH,0.000352988
2021/12/31,300070.SZ,0.000348321
2021/12/31,600959.SH,0.000339727
2021/12/31,002416.SZ,0.000332582
2021/12/31,601678.SH,0.000332525
2021/12/31,600643.SH,0.000328705
2021/12/31,002241.SZ,0.000327733
2021/12/31,601919.SH,0.000317809
2021/12/31,002254.SZ,0.000317476
2021/12/31,688088.SH,0.000315199
2021/12/31,603708.SH,0.000309006
2021/12/31,600276.SH,0.000305864
2021/12/31,688016.SH,0.000300715
2021/12/31,002034.SZ,0.000287535
2021/12/31,002645.SZ,0.000278312
2021/12/31,300124.SZ,0.00027765
2021/12/31,002503.SZ,0.00027693
2021/12/31,002038.SZ,0.000275297
2021/12/31,300760.SZ,0.000275221
2021/12/31,300458.SZ,0.000267759
2021/12/31,600584.SH,0.000265366
2021/12/31,000738.SZ,0.000264208
2021/12/31,002705.SZ,0.000254794
2021/12/31,000547.SZ,0.000253247
2021/12/31,603501.SH,0.000253194
2021/12/31,600657.SH,0.000252085
2021/12/31,600639.SH,0.000246678
2021/12/31,000858.SZ,0.000242852
2021/12/31,600519.SH,0.000242448
2021/12/31,600446.SH,0.000241995
2021/12/31,300496.SZ,0.00023519
2021/12/31,600436.SH,0.00022978
2021/12/31,300623.SZ,0.000229442
2021/12/31,002371.SZ,0.000223446
2021/12/31,000158.SZ,0.000202966
2021/12/31,600166.SH,0.000197272
2021/12/31,603877.SH,0.000195639
2021/12/31,000026.SZ,0.000177831
2021/12/31,603128.SH,0.000151004
2021/12/31,002670.SZ,0.000106346
2021/12/31,688385.SH,5.73649E-05
2021/12/31,688148.SH,5.2989E-05
2021/12/31,688776.SH,3.51754E-05
2021/12/31,688800.SH,3.45148E-05
2021/12/31,688733.SH,3.3759E-05
2021/12/31,601827.SH,3.27033E-05
2021/12/31,600811.SH,3.19002E-05
2021/12/31,688305.SH,2.07753E-05
2021/12/31,301155.SZ,1.34003E-05
2021/12/31,688768.SH,1.29366E-05
2021/12/31,688799.SH,1.02603E-05
2021/12/31,600927.SH,9.16567E-06
2021/12/31,301050.SZ,7.18729E-06
2021/12/31,301029.SZ,5.45606E-06
2021/12/31,688565.SH,5.24539E-06
2021/12/31,301035.SZ,4.7628E-06
2021/12/31,002131.SZ,4.07313E-06
2021/12/31,603230.SH,3.87546E-06
2021/12/31,301189.SZ,3.23654E-06
2021/12/31,301166.SZ,3.14177E-06
2021/12/31,301069.SZ,3.13135E-06
2021/12/31,301018.SZ,2.67796E-06
2021/12/31,001296.SZ,2.41486E-06
2021/12/31,301088.SZ,2.28225E-06
2021/12/31,301091.SZ,2.15594E-06
2021/12/31,301046.SZ,1.86693E-06
2021/12/31,301017.SZ,1.73577E-06
2021/12/31,301026.SZ,1.67338E-06
2021/12/31,300987.SZ,1.53469E-06
2021/12/31,301092.SZ,1.50764E-06
2021/12/31,301048.SZ,1.43567E-06
2021/12/31,301028.SZ,1.30035E-06
2021/12/31,300774.SZ,1.22992E-06
2021/12/31,301040.SZ,1.21959E-06
2021/12/31,301078.SZ,1.20604E-06
2021/12/31,301062.SZ,1.16904E-06
2021/12/31,301025.SZ,1.10575E-06
2021/12/31,300814.SZ,1.02927E-06
2021/12/31,301055.SZ,1.01603E-06
2021/12/31,301030.SZ,1.00236E-06
