tradingdate,stockcode,weight
2021-12-31,000403.SZ,4.30E-04
2021-12-31,300662.SZ,4.21E-04
2021-12-31,601168.SH,4.13E-04
2021-12-31,688188.SH,4.12E-04
2021-12-31,002568.SZ,3.54E-04
2021-12-31,603198.SH,3.51E-04
2021-12-31,603233.SH,3.47E-04
2021-12-31,601633.SH,0.000341332
2021-12-31,601898.SH,0.000337262
2021-12-31,600027.SH,0.000329365
2021-12-31,300593.SZ,0.000324855
2021-12-31,300433.SZ,0.000287782
2021-12-31,603008.SH,0.00026918
2021-12-31,300253.SZ,0.000264892
2021-12-31,000039.SZ,0.000258451
2021-12-31,603707.SH,0.000257005
2021-12-31,000786.SZ,0.000256195
2021-12-31,688396.SH,0.000251156
2021-12-31,688202.SH,0.000246249
2021-12-31,603612.SH,0.000241419
2021-12-31,601088.SH,0.000240205
2021-12-31,002645.SZ,0.000235098
2021-12-31,603995.SH,0.000232777
2021-12-31,000157.SZ,0.00022119
2021-12-31,603566.SH,0.000214805
2021-12-31,603733.SH,0.000200055
2021-12-31,688032.SH,0.000199075
2021-12-31,603456.SH,0.00019876
2021-12-31,300408.SZ,0.000197637
2021-12-31,600499.SH,0.000197189
2021-12-31,603236.SH,0.000196461
2021-12-31,002293.SZ,0.000194269
2021-12-31,603128.SH,0.000188232
2021-12-31,688516.SH,0.000186912
2021-12-31,300751.SZ,0.000184574
2021-12-31,002135.SZ,0.000180752
2021-12-31,603658.SH,0.000180663
2021-12-31,002497.SZ,0.000179251
2021-12-31,300379.SZ,0.000170716
2021-12-31,603713.SH,0.000168594
2021-12-31,601689.SH,0.000168429
2021-12-31,603225.SH,0.000158143
2021-12-31,600075.SH,0.000155206
2021-12-31,002402.SZ,0.000151157
2021-12-31,688508.SH,0.000150802
2021-12-31,688122.SH,0.000149117
2021-12-31,600010.SH,0.000146767
2021-12-31,688665.SH,0.000145416
2021-12-31,300260.SZ,0.000143523
2021-12-31,688301.SH,0.000142791
2021-12-31,688536.SH,0.000129821
2021-12-31,000519.SZ,0.000124878
2021-12-31,688728.SH,0.000114117
2021-12-31,300772.SZ,0.000113001
2021-12-31,688356.SH,0.000108277
2021-12-31,688772.SH,8.56357E-05
2021-12-31,688711.SH,3.67336E-05
2021-12-31,688767.SH,2.491E-05
2021-12-31,688296.SH,1.82447E-05
2021-12-31,688598.SH,1.80046E-05
2021-12-31,301155.SZ,1.72376E-05
2021-12-31,600927.SH,1.17903E-05
2021-12-31,301050.SZ,9.24543E-06
2021-12-31,301029.SZ,7.01844E-06
2021-12-31,301035.SZ,6.12666E-06
2021-12-31,603230.SH,4.98523E-06
2021-12-31,600985.SH,4.53562E-06
2021-12-31,301189.SZ,4.16335E-06
2021-12-31,301166.SZ,4.04144E-06
2021-12-31,301069.SZ,4.02804E-06
2021-12-31,301018.SZ,3.44481E-06
2021-12-31,001296.SZ,3.10638E-06
2021-12-31,301088.SZ,2.9358E-06
2021-12-31,301091.SZ,2.77331E-06
2021-12-31,301046.SZ,2.40154E-06
2021-12-31,301017.SZ,2.23282E-06
2021-12-31,301026.SZ,2.15256E-06
2021-12-31,300987.SZ,1.97416E-06
2021-12-31,301092.SZ,1.93936E-06
2021-12-31,301048.SZ,1.84679E-06
2021-12-31,301028.SZ,1.67271E-06
2021-12-31,300774.SZ,1.58211E-06
2021-12-31,301040.SZ,1.56883E-06
2021-12-31,301078.SZ,1.5514E-06
2021-12-31,301062.SZ,1.5038E-06
2021-12-31,301025.SZ,1.42239E-06
2021-12-31,300814.SZ,1.32401E-06
2021-12-31,301055.SZ,1.30698E-06
2021-12-31,301030.SZ,1.28939E-06
2021-12-31,301098.SZ,1.1505E-06
2021-12-31,300998.SZ,1.13244E-06
2021-12-31,301033.SZ,1.09482E-06
2021-12-31,301049.SZ,1.09069E-06
2021-12-31,301032.SZ,1.08482E-06
2021-12-31,301056.SZ,1.07229E-06
2021-12-31,301036.SZ,1.03716E-06
2021-12-31,301041.SZ,1.02524E-06
2021-12-31,301072.SZ,1.02221E-06
2021-12-31,300854.SZ,9.36448E-07
2021-12-31,301063.SZ,9.33906E-07
2021-12-31,001234.SZ,9.30467E-07
2021-12-31,301038.SZ,9.09623E-07
2021-12-31,301010.SZ,8.83669E-07
2021-12-31,301059.SZ,8.4497E-07
2021-12-31,301027.SZ,8.04941E-07
2021-12-31,603176.SH,7.96811E-07
2021-12-31,301037.SZ,7.91466E-07
2021-12-31,301073.SZ,7.78927E-07
2021-12-31,301053.SZ,7.54061E-07
2021-12-31,301057.SZ,7.00892E-07
2021-12-31,301068.SZ,6.9081E-07
2021-12-31,000807.SZ,3.77631E-07
